DisplayMFL,DisplayFacilityName,DisplaySubcounty,DisplayCounty,DisplayMechanism,DisplayAgency,UploadStatus,UploadDate,Upload_monthYear,SiteCode,MPI_SiteCode,UploadDate_MPI,Upload_monthYear_MPI
14159,Urenga Health Centre,Ugenya,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/05/2021,Jun-21,14159,14159,06/05/2021,Jun-21
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/08/2021,Mar-21,14160,14160,03/08/2021,Mar-21
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/04/2021,Feb-21,14160,14160,02/04/2021,Feb-21
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/07/2020,Jul-20,14160,14160,07/07/2020,Jul-20
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/07/2021,Apr-21,14160,14160,04/07/2021,Apr-21
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,12/09/2020,Dec-20,14160,NULL,NULL,NULL
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/07/2020,Oct-20,14160,14160,10/07/2020,Oct-20
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/06/2020,Aug-20,14160,14160,08/06/2020,Aug-20
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/01/2020,Sep-20,14160,14160,09/01/2020,Sep-20
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/09/2020,Nov-20,14160,14160,11/09/2020,Nov-20
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/10/2021,Jan-21,14160,14160,01/10/2021,Jan-21
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/11/2020,Jun-20,14160,NULL,NULL,NULL
14160,Uriri Dispensary,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/10/2021,May-21,14160,14160,05/10/2021,May-21
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/06/2021,May-21,14161,14161,05/06/2021,May-21
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,14161,14161,04/01/2021,Apr-21
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Only Care & Treatment Uploaded,06/17/2020,Jun-20,14161,NULL,NULL,NULL
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,14161,14161,06/03/2021,Jun-21
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/07/2021,Jan-21,14161,14161,01/07/2021,Jan-21
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Only Care & Treatment Uploaded,12/03/2020,Dec-20,14161,NULL,NULL,NULL
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/10/2021,Mar-21,14161,14161,03/10/2021,Mar-21
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/08/2021,Feb-21,14161,14161,02/08/2021,Feb-21
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/07/2020,Oct-20,14161,14161,10/07/2020,Oct-20
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/02/2020,Nov-20,14161,14161,11/02/2020,Nov-20
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/04/2020,Aug-20,14161,14161,08/04/2020,Aug-20
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/08/2020,Jul-20,14161,14161,07/08/2020,Jul-20
14161,Uriri Sub County Hospital,Uriri,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/04/2020,Sep-20,14161,14161,09/04/2020,Sep-20
14162,Usao Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,14162,14162,06/03/2021,Jun-21
14162,Usao Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,14162,14162,05/03/2021,May-21
14162,Usao Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/08/2021,Mar-21,14162,14162,03/08/2021,Mar-21
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,02/10/2021,Feb-21,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,08/09/2020,Aug-20,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,07/05/2020,Jul-20,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/09/2021,Jun-21,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,11/04/2020,Nov-20,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,01/10/2021,Jan-21,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,03/05/2021,Mar-21,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,10/13/2020,Oct-20,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,05/06/2021,May-21,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,12/07/2020,Dec-20,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,04/12/2021,Apr-21,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/08/2020,Jun-20,14163,NULL,NULL,NULL
14163,Usenge Dispensary,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,09/07/2020,Sep-20,14163,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,03/05/2021,Mar-21,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,08/02/2020,Aug-20,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,07/09/2020,Jul-20,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,05/06/2021,May-21,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/10/2020,Jun-20,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,04/12/2021,Apr-21,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,10/04/2020,Oct-20,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,02/05/2021,Feb-21,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,09/09/2020,Sep-20,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/10/2021,Jun-21,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,01/10/2021,Jan-21,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,12/07/2020,Dec-20,14164,NULL,NULL,NULL
14164,Usigu Health Centre,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,11/04/2020,Nov-20,14164,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,12/08/2020,Dec-20,14165,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,07/04/2020,Jul-20,14165,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,10/14/2020,Oct-20,14165,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/05/2021,Mar-21,14165,14165,03/05/2021,Mar-21
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,08/04/2020,Aug-20,14165,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/04/2021,Feb-21,14165,14165,02/04/2021,Feb-21
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,09/07/2020,Sep-20,14165,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/08/2021,Apr-21,14165,14165,04/08/2021,Apr-21
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/11/2021,Jan-21,14165,14165,01/11/2021,Jan-21
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,11/16/2020,Nov-20,14165,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/07/2021,May-21,14165,14165,05/07/2021,May-21
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/05/2020,Jun-20,14165,NULL,NULL,NULL
14165,Uyawi Sub County Hospital,Bondo,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/09/2021,Jun-21,14165,NULL,NULL,NULL
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/13/2020,Aug-20,14166,14166,08/13/2020,Aug-20
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/02/2021,Jun-21,14166,14166,06/02/2021,Jun-21
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/05/2021,Feb-21,14166,14166,02/05/2021,Feb-21
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Only Care & Treatment Uploaded,10/06/2020,Oct-20,14166,NULL,NULL,NULL
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,01/04/2021,Jan-21,14166,14166,01/04/2021,Jan-21
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2020,Jun-20,14166,14166,06/03/2020,Jun-20
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,14166,14166,05/04/2021,May-21
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/02/2021,Mar-21,14166,14166,03/02/2021,Mar-21
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Only Care & Treatment Uploaded,09/03/2020,Sep-20,14166,NULL,NULL,NULL
14166,Verna Health Centre,Rongo,MIGORI,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/04/2020,Dec-20,14166,14166,12/04/2020,Dec-20
14167,Viagenco Medical Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/04/2021,Mar-21,14167,14167,03/04/2021,Mar-21
14167,Viagenco Medical Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/03/2021,May-21,14167,14167,05/03/2021,May-21
14167,Viagenco Medical Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/02/2021,Apr-21,14167,14167,04/02/2021,Apr-21
14167,Viagenco Medical Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,14167,14167,06/03/2021,Jun-21
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/09/2020,Jun-20,14168,14168,06/09/2020,Jun-20
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/02/2021,Mar-21,14168,14168,03/02/2021,Mar-21
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,14168,14168,04/01/2021,Apr-21
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/08/2020,Jul-20,14168,14168,07/08/2020,Jul-20
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,14168,14168,05/04/2021,May-21
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Only Care & Treatment Uploaded,02/04/2021,Feb-21,14168,NULL,NULL,NULL
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,14168,14168,06/03/2021,Jun-21
14168,Wagwe Health Centre,Karachuonyo,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/09/2020,Sep-20,14168,14168,09/09/2020,Sep-20
14169,Wakula Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,14169,14169,05/04/2021,May-21
14169,Wakula Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/03/2021,Feb-21,14169,14169,02/03/2021,Feb-21
14169,Wakula Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/01/2021,Mar-21,14169,14169,03/01/2021,Mar-21
14169,Wakula Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,14169,14169,06/03/2021,Jun-21
14169,Wakula Health Centre,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,14169,14169,04/01/2021,Apr-21
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/17/2021,May-21,14170,14170,05/17/2021,May-21
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,07/08/2020,Jul-20,14170,14170,07/08/2020,Jul-20
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/04/2021,Jun-21,14170,14170,06/04/2021,Jun-21
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/16/2021,Apr-21,14170,14170,04/16/2021,Apr-21
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/16/2020,Oct-20,14170,14170,10/16/2020,Oct-20
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/09/2020,Jun-20,14170,14170,06/09/2020,Jun-20
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/09/2021,Mar-21,14170,14170,03/09/2021,Mar-21
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/05/2021,Feb-21,14170,14170,02/05/2021,Feb-21
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Only Care & Treatment Uploaded,12/18/2020,Dec-20,14170,NULL,NULL,NULL
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,11/18/2020,Nov-20,14170,14170,11/18/2020,Nov-20
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,08/17/2020,Aug-20,14170,14170,08/17/2020,Aug-20
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Only Care & Treatment Uploaded,01/04/2021,Jan-21,14170,NULL,NULL,NULL
14170,Wath Onger Dispensary,Nyatike,MIGORI,UMB TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/03/2020,Sep-20,14170,14170,09/03/2020,Sep-20
14171,Waware Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/02/2021,Apr-21,14171,14171,04/02/2021,Apr-21
14171,Waware Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/02/2021,Mar-21,14171,14171,03/02/2021,Mar-21
14171,Waware Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,14171,14171,05/04/2021,May-21
14171,Waware Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,14171,14171,06/03/2021,Jun-21
14171,Waware Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/25/2021,Feb-21,14171,14171,02/25/2021,Feb-21
14172,Wiga Dispensary,Homa Bay Town,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/01/2021,Apr-21,14172,14172,04/01/2021,Apr-21
14172,Wiga Dispensary,Homa Bay Town,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/01/2021,Mar-21,14172,14172,03/01/2021,Mar-21
14172,Wiga Dispensary,Homa Bay Town,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/23/2021,Feb-21,14172,14172,02/23/2021,Feb-21
14172,Wiga Dispensary,Homa Bay Town,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2021,Jun-21,14172,14172,06/03/2021,Jun-21
14172,Wiga Dispensary,Homa Bay Town,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,14172,14172,05/04/2021,May-21
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,09/08/2020,Sep-20,14174,14174,09/08/2020,Sep-20
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/04/2021,Jun-21,14174,14174,06/04/2021,Jun-21
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/30/2021,Mar-21,14174,14174,03/30/2021,Mar-21
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/03/2020,Jun-20,14174,14174,06/03/2020,Jun-20
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/05/2021,Feb-21,14174,14174,02/05/2021,Feb-21
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/05/2021,May-21,14174,14174,05/05/2021,May-21
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/07/2020,Dec-20,14174,14174,12/07/2020,Dec-20
14174,Wire Dispensary,Rachuonyo South,HOMA BAY,KCCB KARP,CDC,Both Care & Treatment + PKV(MPI) uploaded,04/08/2021,Apr-21,14174,14174,04/08/2021,Apr-21
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/23/2021,May-21,14175,14175,05/23/2021,May-21
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/08/2021,Jun-21,14175,14175,06/08/2021,Jun-21
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,06/19/2020,Jun-20,14175,NULL,NULL,NULL
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,02/10/2021,Feb-21,14175,NULL,NULL,NULL
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,01/11/2021,Jan-21,14175,NULL,NULL,NULL
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,04/20/2021,Apr-21,14175,NULL,NULL,NULL
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,07/08/2020,Jul-20,14175,NULL,NULL,NULL
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,09/10/2020,Sep-20,14175,NULL,NULL,NULL
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,10/16/2020,Oct-20,14175,14175,10/16/2020,Oct-20
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,12/09/2020,Dec-20,14175,14175,12/09/2020,Dec-20
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/05/2021,Mar-21,14175,14175,03/05/2021,Mar-21
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,11/10/2020,Nov-20,14175,NULL,NULL,NULL
14175,Yala Sub County Hospital,Gem,SIAYA,CHS SHINDA,CDC,Only Care & Treatment Uploaded,08/13/2020,Aug-20,14175,NULL,NULL,NULL
14176,Yokia Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,02/03/2021,Feb-21,14176,14176,02/03/2021,Feb-21
14176,Yokia Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,03/04/2021,Mar-21,14176,14176,03/04/2021,Mar-21
14176,Yokia Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,05/04/2021,May-21,14176,14176,05/04/2021,May-21
14176,Yokia Dispensary,Mbita,HOMA BAY,EGPAF TIMIZA,CDC,Both Care & Treatment + PKV(MPI) uploaded,06/02/2021,Jun-21,14176,14176,06/02/2021,Jun-21
14178,AIC Litein Mission Hospital,Bureti,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,09/10/2020,Sep-20,14178,NULL,NULL,NULL
14178,AIC Litein Mission Hospital,Bureti,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,03/01/2021,Mar-21,14178,NULL,NULL,NULL
14178,AIC Litein Mission Hospital,Bureti,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,11/06/2020,Nov-20,14178,NULL,NULL,NULL
14178,AIC Litein Mission Hospital,Bureti,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,07/14/2020,Jul-20,14178,NULL,NULL,NULL
14178,AIC Litein Mission Hospital,Bureti,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,05/06/2021,May-21,14178,NULL,NULL,NULL
14178,AIC Litein Mission Hospital,Bureti,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,04/06/2021,Apr-21,14178,NULL,NULL,NULL
14178,AIC Litein Mission Hospital,Bureti,KERICHO,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,06/09/2021,Jun-21,14178,NULL,NULL,NULL
14179,Nandi Hills District Hospital,Nandi Hills,NANDI,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,02/08/2021,Feb-21,14179,NULL,NULL,NULL
14179,Nandi Hills District Hospital,Nandi Hills,NANDI,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,08/18/2020,Aug-20,14179,NULL,NULL,NULL
14179,Nandi Hills District Hospital,Nandi Hills,NANDI,HJF-SOUTH RIFT VALLEY,DOD,Only Care & Treatment Uploaded,04/05/2021,Apr-21,14179,NULL,NULL,NULL
